internal_id,basic_final_polish,gw_polish,diameter_min,diameter_max,height,table_size,crown_angle,pavilion_angle,star_length,lower_half,girdle_thick,girdle_min,girdle_max,culet_size,crown_height,pavilion_depth,total_depth,table_size_pct,table_size_pct_grade,crown_angle_degree,crown_angle_degree_grade,pavilion_angle_degree,pavilion_angle_degree_grade,star_length_pct,star_length_pct_grade,lower_half_pct,lower_half_pct_grade,girdle_thick_pct,girdle_thick_pct_grade,girdle_min_description,girdle_max_description,girdle_grade,culet_size_description,crown_height_pct,crown_height_pct_grade,pavilion_depth_pct,total_depth_pct,total_depth_pct_grade,individual_cut_grade,est_table_cut_grade,gradia_cut,final_gradia_cut,final_sarine_cut,gw_cut,sarine_cut,sarine_symmetry,gw_symmetry,roundness,roundness_grade,table_size_dev,table_size_dev_grade,crown_angle_dev,crown_angle_dev_grade,pavilion_angle_dev,pavilion_angle_dev_grade,star_length_dev,star_length_dev_grade,lower_half_dev,lower_half_dev_grade,girdle_thick_dev,girdle_thick_dev_grade,crown_height_dev,crown_height_dev_grade,pavilion_depth_dev,pavilion_depth_dev_grade,misalignment,misalignment_grade,table_edge_var,table_edge_var_grade,table_off_center,table_off_center_grade,culet_off_center,culet_off_center_grade,table_off_culet,table_off_culet_grade,star_angle,star_angle_grade,upper_half_angle,upper_half_angle_grade,lower_half_angle,lower_half_angle_grade,remarks
389,EX,,2.89,2.92,1.809,59.8,36.24,41.9,46.9,81.1,3.1,1,2.13,0.55,14.63,44.52,62.29,60,EX,36,EX,42,VG,45,EX,80,EX,3,EX,THN,STK,EX,None / Very Small,14.5,EX,44.5,62.3,EX,VG,GD,GD,GD,GD,#N/A,GD,GD,,0.9,EX,0.6,EX,0.4,EX,1.1,VG,5.7,EX,4.4,EX,1.5,VG,1,EX,1,EX,3.5,GD,2.9,VG,0.7,VG,0.5,EX,0.8,EX,1.5,EX,1.3,EX,0.9,EX,
390,EX,,2.88,2.9,1.736,60.6,34.31,40.4,47.9,77,3.94,2.11,3.15,0.55,13.55,42.34,60.01,61,EX,34.5,EX,40.4,VG,50,EX,75,EX,4,EX,STK,THK,VG,None / Very Small,13.5,EX,42.5,60,EX,VG,VG,VG,VG,VG,#N/A,VG,GD,,0.7,EX,0.7,EX,1.2,EX,0.7,EX,3.4,EX,4.5,EX,1,EX,1.4,VG,1,EX,4.4,GD,1.6,EX,0.6,EX,0.4,EX,0.7,EX,3.2,EX,2.1,EX,0.8,EX,
391,EX,,2.83,2.87,1.818,58.4,35.58,41.45,47.3,79.3,4.94,2.84,3.82,0.46,14.82,43.8,63.7,58,EX,35.5,EX,41.4,EX,45,EX,80,EX,5,VG,STK,THK,VG,None / Very Small,15,EX,44,63.7,VG,VG,EX,VG,VG,VG,#N/A,VG,GD,,1.4,VG,0.3,EX,0.9,EX,0.6,EX,4.7,EX,1.1,EX,1.4,VG,1.4,VG,1.1,EX,3.8,GD,1.9,EX,0.7,VG,0.4,EX,0.8,EX,1.7,EX,2.2,EX,0.7,EX,
392,EX,,2.82,2.84,1.671,59.8,33.15,40.78,49.4,73.5,3.28,1.34,2.82,0.74,12.99,42.73,59,60,EX,33,EX,40.8,EX,50,EX,75,EX,3.5,EX,MED,STK,EX,None / Very Small,13,EX,42.5,59,EX,EX,VG,VG,VG,EX,#N/A,EX,VG,,0.8,EX,1.4,VG,0.4,EX,0.6,EX,3.6,EX,3.3,EX,1,EX,1.1,EX,0.7,EX,2.7,VG,3.4,VG,0.5,EX,0.4,EX,0.9,EX,1.5,EX,2.2,EX,0.7,EX,
393,EX,,2.84,2.85,1.761,58.2,36.55,40.65,49.5,77.2,3.72,1.51,2.84,0.81,15.48,42.56,61.83,58,EX,36.5,EX,40.6,EX,50,EX,75,EX,3.5,EX,MED,STK,EX,None / Very Small,15.5,EX,42.5,61.8,EX,EX,VG,VG,VG,EX,#N/A,EX,EX,,0.4,EX,0.7,EX,1,EX,0.7,EX,3.4,EX,4.7,EX,1.1,EX,0.7,EX,0.4,EX,1.3,EX,2.5,EX,0.3,EX,0.6,EX,0.7,EX,1.5,EX,2.8,EX,0.6,EX,
394,EX,,2.85,2.87,1.734,60.8,34.11,41.44,46.1,79.2,3.5,1.47,2.13,0.56,13.25,43.87,60.61,61,EX,34,EX,41.4,EX,45,EX,80,EX,3.5,EX,MED,STK,EX,None / Very Small,13.5,EX,44,60.6,EX,EX,EX,EX,EX,EX,#N/A,EX,VG,,0.7,EX,1.1,EX,1.4,VG,1.4,VG,7,EX,3.5,EX,0.5,EX,0.7,EX,0.3,EX,1.9,VG,3.6,VG,0.4,EX,1,VG,1.3,VG,2.3,EX,2.7,EX,1.4,EX,
395,EX,,2.9,2.91,1.774,59,34.08,41.53,45,79.7,3.2,1.75,3.13,0.65,13.86,43.96,61.03,59,EX,34,EX,41.6,EX,45,EX,80,EX,3,EX,MED,THK,VG,None / Very Small,14,EX,44,61,EX,VG,EX,VG,VG,VG,#N/A,VG,VG,,0.3,EX,0.8,EX,0.7,EX,1.3,VG,6.5,EX,2.6,EX,1,EX,1,EX,1.7,VG,2.6,VG,2.9,VG,0.5,EX,0.3,EX,0.3,EX,2,EX,2.4,EX,1.3,EX,
396,VG,,2.85,2.88,1.73,61.6,34.46,41.23,44.6,76.9,3.77,0.91,2.59,0.7,13.21,43.38,60.47,62,EX,34.5,EX,41.2,EX,45,EX,75,EX,4,EX,THN,STK,EX,None / Very Small,13,EX,43.5,60.5,EX,EX,EX,EX,VG,VG,#N/A,EX,GD,,1,VG,0.6,EX,1.8,VG,0.9,EX,4,EX,3.8,EX,0.9,EX,0.7,EX,1.4,VG,4.1,GD,2.6,EX,0.6,EX,0.4,EX,0.7,EX,1.7,EX,4.1,EX,1.1,EX,
397,EX,,2.85,2.87,1.752,59.2,34.71,41.39,47,79.1,3.32,1.05,2.48,0.63,14.13,43.79,61.28,59,EX,34.5,EX,41.4,EX,45,EX,80,EX,3.5,EX,THN,STK,EX,None / Very Small,14,EX,44,61.3,EX,EX,EX,EX,EX,EX,#N/A,EX,VG,,0.6,EX,1.4,VG,1.9,VG,1,VG,4.2,EX,4.7,EX,0.9,EX,1.7,VG,1.4,VG,2.4,VG,4.1,VG,0.3,EX,0.1,EX,0.4,EX,2.6,EX,2.6,EX,1.1,EX,
399,GD,,2.87,2.88,1.783,58.4,38.89,40.4,47.6,82.8,2.89,0.66,2.47,0.63,16.76,42.28,62,58,EX,39,GD,40.4,VG,50,EX,85,EX,3,EX,ETN to VTN,STK,VG,None / Very Small,17,EX,42.5,62,EX,GD,GD,GD,GD,GD,#N/A,GD,GD,,0.4,EX,1.4,VG,1.9,VG,1,VG,5.4,EX,4.7,EX,1.5,VG,0.7,EX,1,EX,5,GD,2.9,VG,0.5,EX,0.5,EX,0.9,EX,2.8,EX,3,EX,0.9,EX,
400,VG,,2.88,2.91,1.746,57.8,33.73,41.05,46.5,77.7,3.18,0.93,1.97,1,14.1,43.07,60.35,58,EX,33.5,EX,41,EX,45,EX,80,EX,3,EX,THN,MED,EX,None / Very Small,14,EX,43,60.4,EX,EX,EX,EX,EX,EX,#N/A,EX,VG,,0.8,EX,0.6,EX,0.6,EX,0.8,EX,5.3,EX,3.3,EX,0.5,EX,0.7,EX,0.7,EX,1.5,EX,2.8,VG,0.4,EX,0.6,EX,0.4,EX,1,EX,1.3,EX,0.9,EX,
401,VG,,2.75,2.78,1.722,57.9,33.89,41.64,45.8,78.7,3.87,1.95,3.36,0.58,14.11,44.18,62.3,58,EX,34,EX,41.6,EX,45,EX,80,EX,4,EX,MED,THK,VG,None / Very Small,14,EX,44,62.3,EX,VG,EX,VG,VG,VG,#N/A,VG,GD,,0.9,EX,1.1,EX,0.8,EX,1.3,VG,3.7,EX,5.2,EX,1.4,VG,0.7,EX,1.4,VG,3.5,GD,3.2,VG,0.7,VG,0.9,VG,1,VG,2.1,EX,2.6,EX,1.3,EX,
