internal_id,,,diameter_min,diameter_max,height,table_size,crown_angle,pavilion_angle,star_length,lower_half,girdle_thickness_number,girdle_min_number,girdle_max_number,culet_size,crown_height,pavilion_depth,total_depth,table_size_rounded,crown_angle_rounded,pavilion_angle_rounded,star_length_rounded,lower_half_rounded,girdle_thickness_rounded,girdle_min_grade,girdle_max_grade,culet_size_description,crown_height_rounded,pavilion_depth_rounded,total_depth_rounded,sarine_cut_pre_polish_symmetry,sarine_symmetry,roundness,roundness_grade,table_size_dev,table_size_dev_grade,crown_angle_dev,crown_angle_dev_grade,pavilion_angle_dev,pavilion_angle_dev_grade,star_length_dev,star_length_dev_grade,lower_half_dev,lower_half_dev_grade,girdle_thick_dev,girdle_thick_dev_grade,crown_height_dev,crown_height_dev_grade,pavilion_depth_dev,pavilion_depth_dev_grade,misalignment,misalignment_grade,table_edge_var,table_edge_var_grade,table_off_center,table_off_center_grade,culet_off_center,culet_off_center_grade,table_off_culet,table_off_culet_grade,star_angle,star_angle_grade,upper_half_angle,upper_half_angle_grade,lower_half_angle,lower_half_angle_grade,remarks
150,Round,0.105,2.98,3,1.864,59.9,37.53,41,49.4,78.9,3.78,1.74,2.64,0.64,15.46,43.14,62.38,60,37.5,41,50,80,4,MED,STK,None / Very Small,15.5,43,62.4,GD,GD,0.5,EX,0.4,EX,0.7,EX,2,GD,4.8,EX,1.9,EX,0.6,EX,0.7,EX,1,EX,2.9,VG,1.8,EX,0.2,EX,1.4,GD,1.3,VG,1.4,EX,1.6,EX,2.1,VG,
151,Round,0.105,2.96,2.98,1.894,58.3,35.41,41.66,48.4,80.2,4.58,2.26,3.23,0.47,14.96,44.27,63.81,58,35.5,41.6,50,80,4.5,STK,THK,None / Very Small,15,44.5,63.8,VG,VG,0.5,EX,1,EX,1,EX,1.7,VG,2.8,EX,3,EX,0.8,EX,1,EX,1,EX,1.9,VG,1.9,EX,0.3,EX,1,VG,0.8,EX,2.4,EX,3.1,EX,1.7,EX,
152,Round,0.106,3.01,3.04,1.86,58.7,34.26,41.09,49,78.6,4.2,1.72,3.08,1.06,14.19,43.09,61.51,59,34.5,41,50,80,4,MED,THK,None / Very Small,14,43,61.5,VG,VG,0.9,EX,0.8,EX,2.2,VG,1.5,VG,4.6,EX,2.8,EX,1.4,VG,1.3,VG,0.7,EX,1.4,EX,2,EX,0.4,EX,1.1,VG,1.2,VG,1.1,EX,2.8,EX,1.6,EX,
153,Round,0.107,3.02,3.04,1.885,57.6,35.51,41.19,44.2,78.2,3.6,1.65,2.54,0.69,15.16,43.46,62.25,58,35.5,41.2,45,80,3.5,MED,STK,None / Very Small,15,43.5,62.3,EX,VG,0.5,EX,0.9,EX,0.8,EX,1,VG,3.3,EX,4.7,EX,0.7,EX,1,EX,0.7,EX,2.9,VG,2,EX,0.5,EX,0.6,EX,0.8,EX,2,EX,1.5,EX,0.9,EX,
146,ROUND,0.104,2.94,2.97,1.872,59.3,37.03,41.15,53.3,75.9,4.57,2.2,3.59,0.78,15.37,43.36,63.37,59,37,41.2,55,75,4.5,STK,THK,None / Very Small,15.5,43.5,63.4,VG,VG,0.8,EX,2.2,VG,1,EX,1,VG,5.4,EX,3.1,EX,1.2,EX,1.7,VG,1.4,VG,2.7,VG,2.8,VG,0.3,EX,0.4,EX,0.1,EX,2.8,EX,2.7,EX,1.1,EX,
148,ROUND,0.105,2.98,3.01,1.9,57,35.84,41.58,48.6,81.3,3.71,1.4,2.57,0.57,15.56,44.15,63.46,57,36,41.6,50,80,3.5,MED,STK,None / Very Small,15.5,44,63.5,VG,VG,1.2,VG,2.1,VG,1.4,VG,1.4,VG,2.7,EX,2.2,EX,0.8,EX,1.3,VG,1.7,VG,2.9,VG,3.8,VG,0.4,EX,0.6,EX,0.9,EX,3.1,EX,4.7,EX,1.4,EX,
154,ROUND,0.109,2.99,3.04,1.928,56.8,35.56,41.68,49.7,79.5,4.31,1.82,3.35,0.66,15.42,44.11,63.95,57,35.5,41.6,50,80,4.5,MED,THK,None / Very Small,15.5,44,63.9,VG,GD,1.4,VG,1,EX,0.5,EX,1.3,VG,3.4,EX,6.1,VG,1.6,VG,0.7,EX,2,VG,4.4,GD,3.4,VG,0.6,EX,1.2,VG,1.6,VG,1.1,EX,1.8,EX,1.7,EX,
155,ROUND,0.109,2.98,3.02,1.906,59.5,34.43,41.61,50.4,77.6,5.47,2.7,4.2,0.5,13.9,44.13,63.53,60,34.5,41.6,50,80,5.5,STK,VTK,None / Very Small,14,44,63.5,GD,GD,1,VG,1,EX,2.3,VG,1.9,GD,4.9,EX,3.2,EX,0.8,EX,1.7,VG,2,VG,4.1,GD,2.6,EX,0.9,VG,1.1,VG,0.9,EX,2.6,EX,4.1,EX,2,VG,
158,Round,0.109,2.98,3.01,1.928,58.1,36.03,41.69,48.3,79.7,4.83,2.37,4.03,0.47,15.27,44.11,64.29,58,36,41.6,50,80,5,STK,THK,None / Very Small,15.5,44,64.3,VG,VG,1,VG,0.4,EX,1.1,EX,1.2,VG,2.4,EX,2.2,EX,1.7,VG,0.7,EX,1.7,VG,2.2,VG,1.9,EX,0.4,EX,0.4,EX,0.2,EX,1.7,EX,1.2,EX,1.1,EX,
156,ROUND,0.109,3,3.03,1.897,59,34.11,41.43,49.2,77.3,5.05,2.82,4.15,0.63,13.92,43.77,63,59,34,41.4,50,75,5,STK,VTK,None / Very Small,14,44,63,GD,GD,0.9,EX,2.2,VG,1.9,VG,1.8,VG,3.2,EX,3.9,EX,1.5,VG,1.3,VG,0.7,EX,5.2,GD,1.8,EX,0.2,EX,1.2,VG,1,VG,2.1,EX,3,EX,1.8,EX,
